Day,Date,Open,High,Low,Close,Volume
Wed,12/19/18,65.42,66.8,63.83,64.26,23835440
Tue,12/18/18,65.84,66.35,65.12,65.5,15852862
Mon,12/17/18,66.09,66.5,64.76,65.17,20033934
Fri,12/14/18,66.46,67.13,66.04,66.26,14983582
Thu,12/13/18,67.89,68,66.92,67.19,16108513
Wed,12/12/18,67.89,68.38,67.32,67.37,14953446
Tue,12/11/18,68.48,68.62,66.59,67,18697084
Mon,12/10/18,67.16,67.63,65.91,67.39,25663872
Fri,12/7/18,68.87,69.67,67,67.22,19468768
Thu,12/6/18,68.14,69.05,67,69.04,28665572
Tue,12/4/18,72.27,72.27,69.33,69.43,20827084
Mon,12/3/18,73.04,73.58,72.21,72.51,19785320
Fri,11/30/18,70.91,71.79,70.75,71.68,16624937
Thu,11/29/18,70.79,71.33,70.29,70.99,13153676
Wed,11/28/18,69.67,70.95,69.15,70.95,14309078
Tue,11/27/18,69.08,69.37,68.61,69.29,14604138
Mon,11/26/18,69.44,69.82,68.9,69.41,13050852
Fri,11/23/18,68.53,69.37,68.52,68.9,6279864
Wed,11/21/18,69.08,69.59,68.91,69.04,10975987
Tue,11/20/18,68.86,69.23,68.26,68.56,18240852
Mon,11/19/18,71.02,71.1,69.73,70.01,14537408
Fri,11/16/18,70.95,71.48,70.52,71.14,15337584
Thu,11/15/18,69.7,71.53,69.44,71.16,24704064
Wed,11/14/18,70.94,71.41,69.76,70.23,18594244
Tue,11/13/18,70.22,71.37,70.02,70.47,16224229
Mon,11/12/18,71.51,71.56,70.04,70.15,10951990
Fri,11/9/18,71.79,72.04,71.06,71.56,23689510
Thu,11/8/18,72.25,72.67,72,72.29,12110811
Wed,11/7/18,71.93,72.47,71.15,72.41,14388107
Tue,11/6/18,70.45,71.31,70.35,71.26,15775756
Mon,11/5/18,70.22,70.79,70.02,70.52,17734300
Fri,11/2/18,70.9,71.08,69.71,70.15,23494582
Thu,11/1/18,69.34,70.51,69.19,70.27,22925248
Wed,10/31/18,69.18,69.9,69.01,69.05,14375656
Tue,10/30/18,67.08,68.61,66.81,68.53,23726720
Mon,10/29/18,69.23,69.39,66.2,67.15,23928906
Fri,10/26/18,68.26,69.03,67.31,68.28,34742168
Thu,10/25/18,68.78,69.48,68.43,68.96,24157500
Wed,10/24/18,71.1,71.3,68.35,68.48,22436532
Tue,10/23/18,70.4,71.39,69.83,70.88,25441126
Mon,10/22/18,72.42,72.6,71.73,72.07,13839368
Fri,10/19/18,72.54,73.02,72.06,72.31,17357860
Thu,10/18/18,73.4,73.7,72.14,72.58,19368562
Wed,10/17/18,74.42,74.66,73.46,73.86,15797625
Tue,10/16/18,73.44,74.47,73.12,74.4,12697643
Mon,10/15/18,72.98,73.75,72.92,73.16,15383333
Fri,10/12/18,73.82,73.92,72.19,73.03,29762110
Thu,10/11/18,74.02,74.68,72.33,72.54,55204024
Wed,10/10/18,76.85,76.85,74.3,74.51,34458336
Tue,10/9/18,77.97,78.08,76.98,76.99,11745958
Mon,10/8/18,77.97,78.26,77.38,78.19,9471798
Fri,10/5/18,78.45,78.81,77.59,78,14335247
Thu,10/4/18,78.49,78.81,77.81,78.4,12671040
Wed,10/3/18,78.66,79.07,78.49,78.66,10661102
Tue,10/2/18,78.11,78.47,77.86,78.33,8626157
Mon,10/1/18,78.42,78.61,77.88,78.15,17033784
Fri,9/28/18,77.34,77.65,77.21,77.47,7635746
Thu,9/27/18,77.61,77.88,77.26,77.52,8606059
Wed,9/26/18,77.63,77.91,77.26,77.41,11563105
Tue,9/25/18,77.8,77.9,77.38,77.46,12517770
Mon,9/24/18,78.56,78.66,77.62,77.7,12143361
Fri,9/21/18,78.81,79.05,78.69,79.05,15315245
Thu,9/20/18,78.79,79.08,78.22,78.55,11660267
Wed,9/19/18,78.42,78.92,78.33,78.43,8072167
Tue,9/18/18,77.96,78.67,77.62,78.5,8838038
Mon,9/17/18,77.72,78.12,77.65,77.79,8509788
Fri,9/14/18,77.39,77.82,77.14,77.76,8621539
Thu,9/13/18,77.29,77.65,77.09,77.37,8998237
Wed,9/12/18,76.64,77.22,76.48,76.91,11090121
Tue,9/11/18,76.36,76.9,76.19,76.68,7062778
Mon,9/10/18,76.6,77,76.6,76.7,9711325
Fri,9/7/18,76.33,76.66,75.9,76.3,11225922
Thu,9/6/18,76.35,76.77,76.21,76.54,8219296
Wed,9/5/18,75.63,76.32,75.44,76.3,10942789
Tue,9/4/18,75.54,75.82,75.38,75.76,8742705
Fri,8/31/18,75.59,75.96,75.52,75.82,7313739
Thu,8/30/18,76.14,76.32,75.59,75.77,10316758
Wed,8/29/18,76.3,76.44,76.08,76.3,6445960
Tue,8/28/18,76.55,76.63,76.18,76.24,8583009
Mon,8/27/18,75.82,76.42,75.73,76.4,9932275
Fri,8/24/18,75.3,75.5,75.09,75.45,6519693
Thu,8/23/18,75.38,75.38,74.95,75.12,8477131
Wed,8/22/18,75.88,75.97,75.34,75.34,7270251
Tue,8/21/18,75.6,76.18,75.6,76.08,10203223
Mon,8/20/18,75.17,75.67,75.13,75.52,8378300
Fri,8/17/18,74.39,75.17,74.36,75.01,14229119
Thu,8/16/18,74.21,74.73,74,74.56,10623388
Wed,8/15/18,73.37,73.75,72.76,73.63,20672272
Tue,8/14/18,73.76,74.28,73.7,73.98,8643889
Mon,8/13/18,74.13,74.16,73.27,73.47,13698998
Fri,8/10/18,74.05,74.18,73.62,73.82,10865032
Thu,8/9/18,74.88,75.07,74.43,74.48,13306589
Wed,8/8/18,75.18,75.24,74.8,74.9,4825216
Tue,8/7/18,74.96,75.34,74.74,75.23,8523311
Mon,8/6/18,74.55,74.73,74.25,74.7,5552430
Fri,8/3/18,74.46,74.64,74.12,74.59,11207572
Thu,8/2/18,74.09,74.62,73.86,74.52,10994796
Wed,8/1/18,75.36,75.41,74.43,74.62,14454345
Tue,7/31/18,74.57,75.71,74.44,75.64,18008152
Mon,7/30/18,74.85,75.23,73.93,74.01,13650008
Fri,7/27/18,74.89,75.07,74.4,74.75,11471911
Thu,7/26/18,74.01,74.89,74,74.74,15370374
Wed,7/25/18,72.84,74.17,72.72,74.17,18270930
Tue,7/24/18,73.13,73.48,72.73,73.06,12345184
Mon,7/23/18,73.03,73.05,72.62,72.75,7953976
Fri,7/20/18,73.19,73.48,72.89,73.21,8056038
Thu,7/19/18,73.04,73.44,72.74,73.28,8938261
Wed,7/18/18,72.77,73.52,72.68,73.31,14054467
Tue,7/17/18,72.17,72.61,71.98,72.52,7449586
Mon,7/16/18,72.66,72.83,72.04,72.23,9737600
